,Station,Variable,Begin date,End date,Total measurements,Measurements since 2000,Measurements in 2019
0,POLESOUT,NITRATE+NITRITE-N,1988-06-27 13:00:00,2020-06-23 13:02:00,438,252,12
1,POLESOUT,NITRITE-N,1988-06-27 13:00:00,2020-06-23 13:02:00,440,253,12
2,POLESOUT,AMMONIA-N,1988-06-27 13:00:00,2020-06-23 13:02:00,438,252,12
3,POLESOUT,"KJELDAHL NITROGEN, TOTAL",1988-06-27 13:00:00,2014-05-14 10:43:00,363,175,0
4,POLESOUT,"PHOSPHATE, ORTHO AS P",1988-06-27 13:00:00,2020-06-23 13:02:00,440,253,12
5,POLESOUT,"PHOSPHATE, TOTAL AS P",1988-06-27 13:00:00,2020-06-23 13:02:00,442,253,12
6,POLESOUT,NITRATE-N,1988-06-27 13:00:00,2019-11-05 12:13:00,342,174,11
7,POLESOUT,SILICA,1988-07-11 12:05:00,2020-06-23 13:02:00,130,83,4
8,POLESOUT,"CARBON, TOTAL ORGANIC",,,1,1,0
9,POLESOUT,"CARBON, DISSOLVED ORGANIC",,,1,1,0
10,POLESOUT,TOTAL NITROGEN,2014-06-04 12:03:00,2020-06-23 13:02:00,78,78,12
11,POLESOUT,"PHOSPHATE, DISSOLVED AS P",,,0,0,0
12,POLESOUT,"KJELDAHL NITROGEN, DIS",,,0,0,0
13,POLESOUT,"CARBON, TOTAL",,,0,0,0
14,POLESOUT,"CARBON, TOTAL INORGANIC",,,0,0,0
15,POLESOUT,"NITROGEN, TOTAL DISSOLVED",,,0,0,0
16,POLESOUT,CHLOROPHYLL-A,1988-06-27 13:00:00,2011-04-18 14:27:00,310,132,0
17,POLESOUT,PHEOPHYTIN,1988-06-27 13:00:00,2011-04-18 14:27:00,309,132,0
18,POLESOUT,"CHLOROPHYLL-A, CORRECTED",1988-06-27 13:00:00,2011-04-18 14:27:00,310,132,0
19,POLESOUT,CHLOROPHYLL-C,1989-04-03 12:30:00,2011-04-18 14:27:00,280,132,0
20,POLESOUT,CAROTENOIDS,1989-04-03 12:30:00,2011-04-18 14:27:00,293,132,0
21,POLESOUT,CHLOROPHYLL-B,1989-04-03 12:30:00,2011-04-18 14:27:00,293,132,0
22,POLESOUT,CHLOROPHYLL-A(LC),2010-10-20 12:01:00,2020-06-23 13:02:00,127,127,12
23,POLESOUT,PHEOPHYTIN-A(LC),2010-10-20 12:01:00,2020-06-23 13:02:00,127,127,12
24,POLESOUT,CHLOROPHYLL-B(LC),2010-10-20 12:01:00,2020-06-23 13:02:00,72,72,0
25,POLESOUT,RESP. PLANKTONIC,,,0,0,0
26,KISSR0.0,NITRATE+NITRITE-N,1986-07-29 12:38:00,2020-06-23 08:14:00,987,580,35
27,KISSR0.0,NITRITE-N,1986-07-29 12:38:00,2020-06-23 08:14:00,993,586,35
28,KISSR0.0,AMMONIA-N,1986-07-29 12:38:00,2020-06-23 08:14:00,989,582,35
29,KISSR0.0,"KJELDAHL NITROGEN, TOTAL",1986-07-29 12:38:00,2014-05-14 07:41:00,780,369,0
30,KISSR0.0,"PHOSPHATE, ORTHO AS P",1986-07-29 12:38:00,2020-06-23 08:14:00,993,586,35
31,KISSR0.0,"PHOSPHATE, TOTAL AS P",1986-07-29 12:38:00,2020-06-23 08:14:00,996,585,35
32,KISSR0.0,NITRATE-N,1986-07-29 12:38:00,2019-11-05 08:40:00,756,398,33
33,KISSR0.0,SILICA,1988-01-13 14:40:00,2020-06-23 08:14:00,371,292,20
34,KISSR0.0,"CARBON, TOTAL ORGANIC",2003-02-18 08:59:00,2012-09-19 08:07:00,58,58,0
35,KISSR0.0,"CARBON, DISSOLVED ORGANIC",2003-02-18 08:59:00,2012-09-19 08:07:00,61,61,0
36,KISSR0.0,TOTAL NITROGEN,2014-06-04 07:06:00,2020-06-23 08:14:00,216,216,35
37,KISSR0.0,"PHOSPHATE, DISSOLVED AS P",,,1,0,0
38,KISSR0.0,"KJELDAHL NITROGEN, DIS",,,0,0,0
39,KISSR0.0,"CARBON, TOTAL",,,0,0,0
40,KISSR0.0,"CARBON, TOTAL INORGANIC",,,0,0,0
41,KISSR0.0,"NITROGEN, TOTAL DISSOLVED",,,0,0,0
42,KISSR0.0,CHLOROPHYLL-A,1986-07-29 12:38:00,2011-04-18 08:27:00,541,237,0
43,KISSR0.0,PHEOPHYTIN,1986-07-29 12:38:00,2011-04-18 08:27:00,542,238,0
44,KISSR0.0,"CHLOROPHYLL-A, CORRECTED",1986-07-29 12:38:00,2011-04-18 08:27:00,539,237,0
45,KISSR0.0,CHLOROPHYLL-C,1986-07-29 12:38:00,2011-04-18 08:27:00,484,237,0
46,KISSR0.0,CAROTENOIDS,1986-07-29 12:38:00,2011-04-18 08:27:00,498,237,0
47,KISSR0.0,CHLOROPHYLL-B,1986-07-29 12:38:00,2011-04-18 08:27:00,498,237,0
48,KISSR0.0,CHLOROPHYLL-A(LC),2010-10-20 08:03:00,2020-06-23 08:14:00,311,311,35
49,KISSR0.0,PHEOPHYTIN-A(LC),2010-10-20 08:03:00,2020-06-23 08:14:00,311,311,35
50,KISSR0.0,CHLOROPHYLL-B(LC),2010-10-20 08:03:00,2020-06-23 08:14:00,164,164,0
51,KISSR0.0,RESP. PLANKTONIC,,,0,0,0
52,LZ2,NITRATE+NITRITE-N,1978-05-22 15:25:00,2020-06-23 08:40:00,515,250,12
53,LZ2,NITRITE-N,1978-05-22 15:25:00,2020-06-23 08:40:00,516,251,12
54,LZ2,AMMONIA-N,1978-05-22 15:25:00,2020-06-23 08:40:00,515,250,12
55,LZ2,"KJELDAHL NITROGEN, TOTAL",1978-05-22 15:25:00,2014-05-14 08:01:00,436,171,0
56,LZ2,"PHOSPHATE, ORTHO AS P",1978-05-22 15:25:00,2020-06-23 08:40:00,516,251,12
57,LZ2,"PHOSPHATE, TOTAL AS P",1978-05-22 15:25:00,2020-06-23 08:40:00,518,251,12
58,LZ2,NITRATE-N,1978-05-22 15:25:00,2019-11-05 08:54:00,422,179,11
59,LZ2,SILICA,1981-05-19 15:30:00,2020-06-23 08:40:00,141,85,4
60,LZ2,"CARBON, TOTAL ORGANIC",1978-05-22 15:25:00,2012-06-12 14:25:00,23,6,0
61,LZ2,"CARBON, DISSOLVED ORGANIC",2002-12-16 10:15:00,2012-06-12 14:25:00,6,6,0
62,LZ2,TOTAL NITROGEN,2014-06-04 07:56:00,2020-06-23 08:40:00,80,80,12
63,LZ2,"PHOSPHATE, DISSOLVED AS P",,,0,0,0
64,LZ2,"KJELDAHL NITROGEN, DIS",,,0,0,0
65,LZ2,"CARBON, TOTAL",,,0,0,0
66,LZ2,"CARBON, TOTAL INORGANIC",,,0,0,0
67,LZ2,"NITROGEN, TOTAL DISSOLVED",,,0,0,0
68,LZ2,CHLOROPHYLL-A,1986-10-16 10:50:00,2011-04-18 09:06:00,352,129,0
69,LZ2,PHEOPHYTIN,1986-10-16 10:50:00,2011-04-18 09:06:00,350,129,0
70,LZ2,"CHLOROPHYLL-A, CORRECTED",1986-10-16 10:50:00,2011-04-18 09:06:00,355,129,0
71,LZ2,CHLOROPHYLL-C,1986-10-16 10:50:00,2011-04-18 09:06:00,296,129,0
72,LZ2,CAROTENOIDS,1986-10-16 10:50:00,2011-04-18 09:06:00,304,129,0
73,LZ2,CHLOROPHYLL-B,1986-10-16 10:50:00,2011-04-18 09:06:00,304,129,0
74,LZ2,CHLOROPHYLL-A(LC),2010-10-20 09:13:00,2020-06-23 08:40:00,127,127,12
75,LZ2,PHEOPHYTIN-A(LC),2010-10-20 09:13:00,2020-06-23 08:40:00,127,127,12
76,LZ2,CHLOROPHYLL-B(LC),2010-10-20 09:13:00,2020-06-23 08:40:00,72,72,0
77,LZ2,RESP. PLANKTONIC,,,0,0,0
78,S133,NITRATE+NITRITE-N,1973-04-09 00:00:00,2020-06-15 07:51:00,1068,437,24
79,S133,NITRITE-N,1973-04-09 00:00:00,2009-10-28 07:41:00,874,243,0
80,S133,AMMONIA-N,1973-04-09 00:00:00,2020-06-15 07:51:00,1069,437,24
81,S133,"KJELDAHL NITROGEN, TOTAL",1973-04-09 00:00:00,2018-06-04 07:53:00,997,365,0
82,S133,"PHOSPHATE, ORTHO AS P",1973-04-09 00:00:00,2020-06-15 07:51:00,1063,438,24
83,S133,"PHOSPHATE, TOTAL AS P",1973-04-09 00:00:00,2020-06-15 07:51:00,1065,438,24
84,S133,NITRATE-N,1973-04-09 00:00:00,2010-05-26 10:12:00,735,125,0
85,S133,SILICA,1973-04-09 00:00:00,2009-08-26 12:23:00,245,78,0
86,S133,"CARBON, TOTAL ORGANIC",1979-05-14 10:37:00,2020-04-06 07:55:00,106,36,5
87,S133,"CARBON, DISSOLVED ORGANIC",,,0,0,0
88,S133,TOTAL NITROGEN,2017-05-08 07:51:00,2020-06-15 07:51:00,73,73,24
89,S133,"PHOSPHATE, DISSOLVED AS P",,,1,0,0
90,S133,"KJELDAHL NITROGEN, DIS",,,0,0,0
91,S133,"CARBON, TOTAL",,,0,0,0
92,S133,"CARBON, TOTAL INORGANIC",,,0,0,0
93,S133,"NITROGEN, TOTAL DISSOLVED",,,0,0,0
94,S133,CHLOROPHYLL-A,,,0,0,0
95,S133,PHEOPHYTIN,,,0,0,0
96,S133,"CHLOROPHYLL-A, CORRECTED",,,0,0,0
97,S133,CHLOROPHYLL-C,,,0,0,0
98,S133,CAROTENOIDS,,,0,0,0
99,S133,CHLOROPHYLL-B,,,0,0,0
100,S133,CHLOROPHYLL-A(LC),2012-11-14 08:06:00,2020-04-06 07:55:00,32,32,4
101,S133,PHEOPHYTIN-A(LC),2012-11-14 08:06:00,2020-04-06 07:55:00,32,32,4
102,S133,CHLOROPHYLL-B(LC),2012-11-14 08:06:00,2016-01-20 08:42:00,18,18,0
103,S133,RESP. PLANKTONIC,,,0,0,0
104,TCNS228,NITRATE+NITRITE-N,,,0,0,0
105,TCNS228,NITRITE-N,,,0,0,0
106,TCNS228,AMMONIA-N,,,0,0,0
107,TCNS228,"KJELDAHL NITROGEN, TOTAL",,,0,0,0
108,TCNS228,"PHOSPHATE, ORTHO AS P",,,0,0,0
109,TCNS228,"PHOSPHATE, TOTAL AS P",,,0,0,0
110,TCNS228,NITRATE-N,,,0,0,0
111,TCNS228,SILICA,,,0,0,0
112,TCNS228,"CARBON, TOTAL ORGANIC",,,0,0,0
113,TCNS228,"CARBON, DISSOLVED ORGANIC",,,0,0,0
114,TCNS228,TOTAL NITROGEN,,,0,0,0
115,TCNS228,"PHOSPHATE, DISSOLVED AS P",,,0,0,0
116,TCNS228,"KJELDAHL NITROGEN, DIS",,,0,0,0
117,TCNS228,"CARBON, TOTAL",,,0,0,0
118,TCNS228,"CARBON, TOTAL INORGANIC",,,0,0,0
119,TCNS228,"NITROGEN, TOTAL DISSOLVED",,,0,0,0
120,TCNS228,CHLOROPHYLL-A,,,0,0,0
121,TCNS228,PHEOPHYTIN,,,0,0,0
122,TCNS228,"CHLOROPHYLL-A, CORRECTED",,,0,0,0
123,TCNS228,CHLOROPHYLL-C,,,0,0,0
124,TCNS228,CAROTENOIDS,,,0,0,0
125,TCNS228,CHLOROPHYLL-B,,,0,0,0
126,TCNS228,CHLOROPHYLL-A(LC),,,0,0,0
127,TCNS228,PHEOPHYTIN-A(LC),,,0,0,0
128,TCNS228,CHLOROPHYLL-B(LC),,,0,0,0
129,TCNS228,RESP. PLANKTONIC,,,0,0,0
130,S135,NITRATE+NITRITE-N,1973-04-09 00:00:00,2020-06-15 08:51:00,720,298,16
131,S135,NITRITE-N,1973-04-09 00:00:00,2009-10-28 08:15:00,564,142,0
132,S135,AMMONIA-N,1973-04-09 00:00:00,2020-06-15 08:51:00,715,298,16
133,S135,"KJELDAHL NITROGEN, TOTAL",1973-04-09 00:00:00,2018-06-04 09:18:00,664,247,0
134,S135,"PHOSPHATE, ORTHO AS P",1973-04-09 00:00:00,2020-06-15 08:51:00,716,299,16
135,S135,"PHOSPHATE, TOTAL AS P",1973-04-09 00:00:00,2020-06-15 08:51:00,716,299,16
136,S135,NITRATE-N,1973-04-09 00:00:00,2010-05-26 09:30:00,504,87,0
137,S135,SILICA,1973-04-09 00:00:00,2009-08-26 11:22:00,164,41,0
138,S135,"CARBON, TOTAL ORGANIC",1979-05-14 08:35:00,1982-02-24 15:20:00,69,0,0
139,S135,"CARBON, DISSOLVED ORGANIC",,,0,0,0
140,S135,TOTAL NITROGEN,2017-05-08 08:25:00,2020-06-15 08:51:00,52,52,16
141,S135,"PHOSPHATE, DISSOLVED AS P",,,1,0,0
142,S135,"KJELDAHL NITROGEN, DIS",,,0,0,0
143,S135,"CARBON, TOTAL",,,0,0,0
144,S135,"CARBON, TOTAL INORGANIC",,,0,0,0
145,S135,"NITROGEN, TOTAL DISSOLVED",,,0,0,0
146,S135,CHLOROPHYLL-A,,,1,1,0
147,S135,PHEOPHYTIN,,,1,1,0
148,S135,"CHLOROPHYLL-A, CORRECTED",,,1,1,0
149,S135,CHLOROPHYLL-C,,,1,1,0
150,S135,CAROTENOIDS,,,1,1,0
151,S135,CHLOROPHYLL-B,,,1,1,0
152,S135,CHLOROPHYLL-A(LC),,,0,0,0
153,S135,PHEOPHYTIN-A(LC),,,0,0,0
154,S135,CHLOROPHYLL-B(LC),,,0,0,0
155,S135,RESP. PLANKTONIC,,,0,0,0
156,FEBIN,NITRATE+NITRITE-N,1994-12-13 14:11:00,2020-06-01 08:50:00,227,176,4
157,FEBIN,NITRITE-N,1996-01-17 10:05:00,2020-06-01 08:50:00,224,176,4
158,FEBIN,AMMONIA-N,1994-12-13 14:11:00,2020-06-01 08:50:00,227,176,4
159,FEBIN,"KJELDAHL NITROGEN, TOTAL",1994-12-13 14:11:00,2014-05-05 09:35:00,179,128,0
160,FEBIN,"PHOSPHATE, ORTHO AS P",1994-12-13 14:11:00,2020-06-01 08:50:00,227,176,4
161,FEBIN,"PHOSPHATE, TOTAL AS P",1994-12-13 14:11:00,2020-06-01 08:50:00,226,175,4
162,FEBIN,NITRATE-N,1996-01-17 10:05:00,2019-10-07 10:30:00,174,134,3
163,FEBIN,SILICA,,,0,0,0
164,FEBIN,"CARBON, TOTAL ORGANIC",,,0,0,0
165,FEBIN,"CARBON, DISSOLVED ORGANIC",,,0,0,0
166,FEBIN,TOTAL NITROGEN,2014-07-21 09:13:00,2020-06-01 08:50:00,47,47,4
167,FEBIN,"PHOSPHATE, DISSOLVED AS P",1996-01-17 10:05:00,2020-06-01 08:50:00,224,176,4
168,FEBIN,"KJELDAHL NITROGEN, DIS",1996-01-17 10:05:00,2014-05-05 09:35:00,176,129,0
169,FEBIN,"CARBON, TOTAL",,,0,0,0
170,FEBIN,"CARBON, TOTAL INORGANIC",,,0,0,0
171,FEBIN,"NITROGEN, TOTAL DISSOLVED",2014-07-21 09:13:00,2020-06-01 08:50:00,47,47,4
172,FEBIN,CHLOROPHYLL-A,1996-01-17 10:05:00,2010-11-03 09:39:00,147,99,0
173,FEBIN,PHEOPHYTIN,1996-01-17 10:05:00,2010-11-03 09:39:00,147,99,0
174,FEBIN,"CHLOROPHYLL-A, CORRECTED",1996-01-17 10:05:00,2010-11-03 09:39:00,147,99,0
175,FEBIN,CHLOROPHYLL-C,1996-01-17 10:05:00,2010-11-03 09:39:00,147,99,0
176,FEBIN,CAROTENOIDS,1996-01-17 10:05:00,2010-11-03 09:39:00,147,99,0
177,FEBIN,CHLOROPHYLL-B,1996-01-17 10:05:00,2010-11-03 09:39:00,147,99,0
178,FEBIN,CHLOROPHYLL-A(LC),2010-11-03 09:39:00,2020-06-01 08:50:00,77,77,4
179,FEBIN,PHEOPHYTIN-A(LC),2010-11-03 09:39:00,2020-06-01 08:50:00,77,77,4
180,FEBIN,CHLOROPHYLL-B(LC),2010-11-03 09:39:00,2016-04-04 10:15:00,51,51,0
181,FEBIN,RESP. PLANKTONIC,,,0,0,0
182,MBOXSOU,NITRATE+NITRITE-N,1996-01-17 10:13:00,2017-12-18 10:44:00,168,129,0
183,MBOXSOU,NITRITE-N,1996-01-17 10:13:00,2017-12-18 10:44:00,168,129,0
184,MBOXSOU,AMMONIA-N,1996-01-17 10:13:00,2017-12-18 10:44:00,168,129,0
185,MBOXSOU,"KJELDAHL NITROGEN, TOTAL",1996-01-17 10:13:00,2014-03-03 09:45:00,143,104,0
186,MBOXSOU,"PHOSPHATE, ORTHO AS P",1996-01-17 10:13:00,2017-12-18 10:44:00,168,129,0
187,MBOXSOU,"PHOSPHATE, TOTAL AS P",1996-01-17 10:13:00,2017-12-18 10:44:00,168,129,0
188,MBOXSOU,NITRATE-N,1996-01-17 10:13:00,2017-12-18 10:44:00,121,87,0
189,MBOXSOU,SILICA,,,0,0,0
190,MBOXSOU,"CARBON, TOTAL ORGANIC",,,0,0,0
191,MBOXSOU,"CARBON, DISSOLVED ORGANIC",,,0,0,0
192,MBOXSOU,TOTAL NITROGEN,2014-08-04 09:13:00,2017-12-18 10:44:00,25,25,0
193,MBOXSOU,"PHOSPHATE, DISSOLVED AS P",1996-01-17 10:13:00,2017-12-18 10:44:00,168,129,0
194,MBOXSOU,"KJELDAHL NITROGEN, DIS",1996-01-17 10:13:00,2014-03-03 09:45:00,143,104,0
195,MBOXSOU,"CARBON, TOTAL",,,0,0,0
196,MBOXSOU,"CARBON, TOTAL INORGANIC",,,0,0,0
197,MBOXSOU,"NITROGEN, TOTAL DISSOLVED",2014-08-04 09:13:00,2017-12-18 10:44:00,25,25,0
198,MBOXSOU,CHLOROPHYLL-A,1996-01-17 10:13:00,2010-11-03 09:43:00,125,86,0
199,MBOXSOU,PHEOPHYTIN,1996-01-17 10:13:00,2010-11-03 09:43:00,125,86,0
200,MBOXSOU,"CHLOROPHYLL-A, CORRECTED",1996-01-17 10:13:00,2010-11-03 09:43:00,125,86,0
201,MBOXSOU,CHLOROPHYLL-C,1996-01-17 10:13:00,2010-11-03 09:43:00,125,86,0
202,MBOXSOU,CAROTENOIDS,1996-01-17 10:13:00,2010-11-03 09:43:00,125,86,0
203,MBOXSOU,CHLOROPHYLL-B,1996-01-17 10:13:00,2010-11-03 09:43:00,125,86,0
204,MBOXSOU,CHLOROPHYLL-A(LC),2010-11-03 09:43:00,2017-12-18 10:44:00,44,44,0
205,MBOXSOU,PHEOPHYTIN-A(LC),2010-11-03 09:43:00,2017-12-18 10:44:00,44,44,0
206,MBOXSOU,CHLOROPHYLL-B(LC),2010-11-03 09:43:00,2016-04-04 10:26:00,31,31,0
207,MBOXSOU,RESP. PLANKTONIC,,,0,0,0
208,MH24000,NITRATE+NITRITE-N,1996-01-17 10:26:00,2017-12-18 11:05:00,158,118,0
209,MH24000,NITRITE-N,1996-01-17 10:26:00,2017-12-18 11:05:00,158,118,0
210,MH24000,AMMONIA-N,1996-01-17 10:26:00,2017-12-18 11:05:00,158,118,0
211,MH24000,"KJELDAHL NITROGEN, TOTAL",1996-01-17 10:26:00,2014-03-03 10:03:00,137,97,0
212,MH24000,"PHOSPHATE, ORTHO AS P",1996-01-17 10:26:00,2017-12-18 11:05:00,158,118,0
213,MH24000,"PHOSPHATE, TOTAL AS P",1996-01-17 10:26:00,2017-12-18 11:05:00,158,118,0
214,MH24000,NITRATE-N,1996-01-17 10:26:00,2017-12-18 11:05:00,99,66,0
215,MH24000,SILICA,,,0,0,0
216,MH24000,"CARBON, TOTAL ORGANIC",,,0,0,0
217,MH24000,"CARBON, DISSOLVED ORGANIC",,,0,0,0
218,MH24000,TOTAL NITROGEN,2014-09-02 09:51:00,2017-12-18 11:05:00,21,21,0
219,MH24000,"PHOSPHATE, DISSOLVED AS P",1996-01-17 10:26:00,2017-12-18 11:05:00,158,118,0
220,MH24000,"KJELDAHL NITROGEN, DIS",1996-01-17 10:26:00,2014-03-03 10:03:00,137,97,0
221,MH24000,"CARBON, TOTAL",,,0,0,0
