Site Name,Latitude,Longtitude,Begin date,End date,Total measurements
POLESOUT,270217.513,805506.746,6/27/88 13:00,6/23/20 13:03,11186
KISSR0.0,270828.683,805045.601,7/29/86 12:38,6/23/20 08:14,23033
LZ2,271123.121,804940.943,5/22/78 15:25,6/23/20 08:43,12958
S133,271223.28,804803.67,4/9/73 00:00,6/15/20 07:51,18549
S135,270511.88,803940.16,4/9/73 00:00,6/15/20 08:51,13141
FEBIN,265733.697,810409.649,12/13/94 14:11,6/1/20 08:50,6757
MBOXSOU,265517.204,810335.645,1/17/96 10:13,6/1/20 09:06,5157
MH24000,265238.837,810107.706,1/17/96 10:26,6/1/20 09:13,4830
FEBOUT,265818.497,810021.373,12/13/94 13:07,6/1/20 08:34,6642
L005,265724.229,805820.586,11/6/72 15:20,6/23/20 12:02,32057
L008,265725.604,805330.092,12/12/72 11:30,6/23/20 11:36,18646
LZ40,265406.534,804720.409,6/12/78 10:08,6/24/20 09:48,28670
L004,265839.662,804234.494,11/6/72 12:55,6/23/20 10:59,19763
S308C,265905.61,803717.14,1/15/73 13:15,6/15/20 15:49,23567
S169,264545.487,805522.009,5/6/85 09:51,6/15/20 12:25,9845
S236,264340.415,805110.124,5/14/79 14:02,6/15/20 11:52,9112
POLE3S,264401.164,805024.285,6/13/94 11:29,6/24/20 11:51,9489
RITTAE2,264345.031,804724.409,2/10/00 11:15,6/24/20 12:20,3141
L007,264612.004,804703.659,11/6/72 14:00,6/24/20 12:36,20588
PELBAY3,264627.021,804229.802,2/10/00 09:00,6/24/20 13:27,3709
L006,264921.21,804658.21,11/6/72 14:30,6/24/20 13:01,27855
LZ30,264749.097,805136.341,5/22/78 11:50,6/24/20 11:24,14911